id,text,author,authorDescription
1,"Technology is anything that wasn’t around when you were born","Alan Kay","Computer Scientist"
2,"Any sufficiently advanced technology is equivalent to magic","Arthur C. Clarke","Author"
3,"All of the biggest technological inventions created by man - the airplane, the automobile, the computer - says little about his intelligence, but speaks volumes about his laziness","Mark Kennedy","Author"
4,"Just because something doesn’t do what you planned it to do doesn’t mean it’s useless","Thomas Edison","Inventor"
5,"It has become appallingly obvious that our technology has exceeded our humanity","Albert Einstein","Scientist"
6,"One machine can do the work of fifty ordinary men.  No machine can do the work of one extraordinary man","Elbert Hubbard",Author
7,"Technology is a word that describes something that doesn’t work yet","Douglas Adams","Author"
8,"Humanity is acquiring all the right technology for all the wrong reasons","R. Buckminster Fuller","Inventor and Author"
9,"I think that novels that leave out technology misrepresent life as badly as Victorians misrepresented life by leaving out sex","Kurt Vonnegut","Author"
10,"The human spirit must prevail over technology","Albert Einstein","Scientist"
11,"The great myth of our times is that technology is communication","Libby Larsen","Composer"
12,"You cannot endow even the best machine with initiative; the jolliest steamroller will not plant flowers","Walter Lippmann",Author"
13,"We are stuck with technology when what we really want is just stuff that works","Douglas Adams","Author"
14,"Technology made large populations possible; large populations now make technology indispensable","Joseph Krutch","Writer"
15,"This is the whole point of technology.  It creates an appetite for immortality on the one hand.  It threatens universal extinction on the other. Technology is lust removed from nature","Don DeLillo","Author"
16,"The real danger is not that computers will begin to think like men, but that men will begin to think like computers","Sydney Harris","Journalist"
17,"If we continue to develop our technology without wisdom or prudence, our servant may prove to be our executioner","Omar Bradley","General, US Army"
18,"The art challenges the technology, and the technology inspires the art","John Lasseter","Director"
19,"Science and technology revolutionize our lives, but memory, tradition and myth frame our response","Arthur Schlesinger,"Historian"
